,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family_size,Age_class,Fare_per_person,Age_group
862,863,1,1,1,48.0,0,0,25.93,S,Mrs,0,48.0,25.93,A
864,865,0,2,0,24.0,0,0,13.0,S,Mr,0,48.0,13.0,Y
865,866,1,2,1,42.0,0,0,13.0,S,Mrs,0,84.0,13.0,A
866,867,1,2,1,27.0,1,0,13.86,C,Miss,1,54.0,6.93,A
867,868,0,1,0,31.0,0,0,50.5,S,Mr,0,31.0,50.5,A
869,870,1,3,0,4.0,1,1,11.13,S,Master,2,12.0,3.71,C
870,871,0,3,0,26.0,0,0,7.9,S,Mr,0,78.0,7.9,A
871,872,1,1,1,47.0,1,1,52.55,S,Mrs,2,47.0,17.52,A
872,873,0,1,0,33.0,0,0,5.0,S,Mr,0,33.0,5.0,A
873,874,0,3,0,47.0,0,0,9.0,S,Mr,0,141.0,9.0,A
874,875,1,2,1,28.0,1,0,24.0,C,Mrs,1,56.0,12.0,A
875,876,1,3,1,15.0,0,0,7.22,C,Miss,0,45.0,7.22,C
876,877,0,3,0,20.0,0,0,9.85,S,Mr,0,60.0,9.85,Y
877,878,0,3,0,19.0,0,0,7.9,S,Mr,0,57.0,7.9,Y
879,880,1,1,1,56.0,0,1,83.16,C,Mrs,1,56.0,41.58,A
880,881,1,2,1,25.0,0,1,26.0,S,Mrs,1,50.0,13.0,Y
881,882,0,3,0,33.0,0,0,7.9,S,Mr,0,99.0,7.9,A
882,883,0,3,1,22.0,0,0,10.52,S,Miss,0,66.0,10.52,Y
883,884,0,2,0,28.0,0,0,10.5,S,Mr,0,56.0,10.5,A
884,885,0,3,0,25.0,0,0,7.05,S,Mr,0,75.0,7.05,Y
885,886,0,3,1,39.0,0,5,29.12,Q,Mrs,5,117.0,4.85,A
886,887,0,2,0,27.0,0,0,13.0,S,Mr,0,54.0,13.0,A
887,888,1,1,1,19.0,0,0,30.0,S,Miss,0,19.0,30.0,Y
889,890,1,1,0,26.0,0,0,30.0,C,Mr,0,26.0,30.0,A
890,891,0,3,0,32.0,0,0,7.75,Q,Mr,0,96.0,7.75,A
